company_name,ticker,country,exchange,currency,source,source_sector,source_industry,research_sector,market_cap,research_status,target_price,target_currency,last_report_date,active,source_status,first_seen,last_seen,review_note
"Tianjin MOTIMO Membrane Technology Co., Ltd. Class A",300334,China,SZSE,CNY,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,383555244.43044,UNDEFINED,,CNY,,TRUE,PRESENT,2026-08-18,2026-09-25,
Rechi Precision Co. Ltd.,4532,Taiwan,TWSE,TWD,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,383079723.613255,UNDEFINED,,TWD,,FALSE,PRESENT,2026-08-18,2026-09-25,
Fine Semitech Corp,036810,South Korea,KRX,KRW,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,382555780.90119004,UNDEFINED,,KRW,,FALSE,REMOVED,2026-08-18,2026-08-18,Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-20; review before deletion. | Removed from source universe on 2026-08-23; review before deletion. | Removed from source universe on 2026-08-23; review before deletion. | Removed from source universe on 2026-08-24; review before deletion. | Removed from source universe on 2026-08-25; review before deletion. | Removed from source universe on 2026-08-26; review before deletion. | Removed from source universe on 2026-08-27; review before deletion. | Removed from source universe on 2026-08-30; review before deletion. | Removed from source universe on 2026-09-06; review before deletion.
"Dagang Holding Group Co., Ltd. Class A",300103,China,SZSE,CNY,TRADINGVIEW_SCREENER,Producer Manufacturing,Trucks/Construction/Farm Machinery,MACHINERY,382006937.87531996,UNDEFINED,,CNY,,TRUE,PRESENT,2026-08-18,2026-09-25,Broad industry; review for shipbuilding/construction-equipment.
Feedback Technology Corp.,8091,Taiwan,TPEX,TWD,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,381230980.54209805,UNDEFINED,,TWD,,TRUE,PRESENT,2026-08-18,2026-09-25,
"Nanchang Mineral Systems Co., Ltd. Class A",001360,China,SZSE,CNY,TRADINGVIEW_SCREENER,Producer Manufacturing,Trucks/Construction/Farm Machinery,MACHINERY,380440753.38306,UNDEFINED,,CNY,,TRUE,PRESENT,2026-08-18,2026-09-25,Broad industry; review for shipbuilding/construction-equipment.
"Zhuhai Kles Technology Co., Ltd. Class A",301314,China,SZSE,CNY,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,379588408.71102,UNDEFINED,,CNY,,TRUE,PRESENT,2026-08-18,2026-09-25,
Zhejiang Baida Precision Manufacturing Corp. Class A,603331,China,SSE,CNY,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,378741844.57049996,UNDEFINED,,CNY,,TRUE,PRESENT,2026-08-18,2026-09-25,
"Twin Disc, Incorporated",TWIN,United States,NASDAQ,USD,TRADINGVIEW_SCREENER,Producer Manufacturing,Trucks/Construction/Farm Machinery,MACHINERY,377139477.4274662,UNDEFINED,,USD,,TRUE,PRESENT,2026-08-18,2026-09-25,Broad industry; review for shipbuilding/construction-equipment.
"Ebara Jitsugyo Co., Ltd.",6328,Japan,TSE,JPY,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,371118359.423136,UNDEFINED,,JPY,,FALSE,REMOVED,2026-08-18,2026-09-24,Removed from source universe on 2026-09-25; review before deletion.
